id,neighbourhood_group,room_type,price,minimum_nights,reviews_per_month,calculated_host_listings_count,availability_365
43957,10,1,50,30,0.18,7,343
44096,30,1,40,30,0.11,7,365
44161,10,2,150,1,0.38,1,0
44212,20,1,125,30,0.16,7,342
44221,20,2,196,1,0.63,3,55
44229,10,1,110,3,0.07,1,0
44288,20,2,170,30,0.12,7,365
44506,20,2,165,2,0.41,1,365
45393,20,2,150,2,0.05,3,0
45542,20,2,100,1,2.45,5,352
45556,10,1,65,1,0.02,1,0
45910,40,2,350,1,,1,0
45936,20,1,99,1,0.09,1,0
45940,10,2,200,10,,1,0
46544,10,2,150,1,0.19,1,318
46723,10,1,90,1,0.68,4,365
46911,10,1,120,1,,1,0
47199,20,1,75,1,0.47,3,324
47362,10,2,175,2,0.11,1,0
47370,20,2,125,5,,3,0
47926,20,2,275,1,1.34,2,0
48719,20,2,299,2,0.05,2,0
50447,10,2,135,1,0.15,1,365
51438,20,1,130,1,,1,0
51485,20,1,83,1,0.03,1,0
51572,20,1,123,1,,1,0
51850,40,1,55,1,0.43,6,180
53137,20,2,195,1,,1,0
53196,10,1,80,1,,1,0
53469,40,2,98,1,0.34,2,0
53470,40,1,140,1,1.35,2,173
53477,40,2,265,3,0.14,1,189
54158,10,2,249,3,2.9,2,349
54453,20,3,105,1,,1,0
54466,20,1,200,14,0.08,28,320
54508,10,1,100,1,0.11,1,365
54544,20,2,121,3,0.13,2,90
54626,30,1,45,1,2.28,3,90
54860,20,1,100,5,0.67,1,89
55467,10,2,140,1,0.1,1,0
55498,10,1,71,1,5.44,1,55
55668,20,1,130,1,1.65,1,216
55737,20,2,199,1,0.83,3,332
55959,10,1,69,1,,1,0
55982,10,1,68,1,0.72,2,365
56467,20,2,130,3,0.95,1,84
56525,10,2,195,1,0.1,2,0
56859,20,1,64,1,,1,0
57166,40,2,140,14,,28,341
57297,10,2,159,2,0.39,2,365
57468,20,2,189,2,1.2,1,76
57618,20,2,250,1,0.08,3,0
57740,20,2,239,4,1.22,2,131
57754,20,2,305,1,,1,0
57874,20,2,155,14,,28,318
58059,20,1,60,5,,1,0
58062,10,1,135,3,0.26,2,89
58467,20,1,120,3,,1,0
59014,20,2,150,1,0.03,1,0
59121,40,2,140,1,0.73,2,362
59642,10,2,135,1,,1,365
59709,20,2,250,1,1.41,1,347
59855,20,2,250,1,0.03,1,0
60164,20,2,500,30,0.53,6,258
60457,20,2,225,30,0.58,6,323
60611,20,2,125,30,0.58,6,289
60666,20,1,92,30,0.58,6,294
60673,20,1,175,1,0.66,1,155
60680,20,2,99,2,0.61,2,0
60794,20,2,195,10,,1,0
60948,20,2,140,1,3.18,4,340
61167,20,2,135,3,1.53,1,0
61224,20,2,500,1,0.32,1,0
61406,20,1,80,2,0.26,1,231
61492,20,1,120,1,0.58,1,365
61509,20,2,110,1,0.91,1,0
62095,10,2,65,15,,1,0
62427,20,2,130,1,,1,0
62430,10,2,99,2,,1,0
62452,50,1,36,1,,1,0
62461,50,1,37,3,0.04,2,0
62787,50,1,37,1,0.16,2,0
62891,20,2,175,1,,1,0
62903,20,2,205,2,0.35,2,361
62925,10,2,285,1,,1,0
63299,10,1,59,1,,1,0
63320,50,1,36,3,0.27,3,0
63360,40,2,99,1,0.46,1,0
63546,10,1,39,1,1.41,1,343
63573,10,1,60,1,,2,0
63588,30,1,90,1,,1,0
63610,30,2,105,1,6.36,4,103
63657,10,2,135,1,0.15,2,0
63693,20,2,390,1,,1,0
63719,10,1,70,1,0.03,2,0
63913,20,1,75,2,,1,0
64000,10,1,60,1,0.34,1,0
64015,20,2,200,1,,1,0
64107,10,1,100,2,0.04,1,0
64277,10,1,70,30,0.05,18,280
64314,10,1,110,2,0.29,3,311
64365,10,1,60,1,0.08,1,0
64707,20,2,90,1,1.54,3,60
64837,20,1,68,1,0.28,4,14
65019,20,2,115,1,0.12,1,0
65268,10,1,75,1,0.71,6,364
65556,10,1,60,25,0.43,4,78
65562,20,2,129,1,0.06,2,364
65615,10,2,130,1,0.15,2,0
65660,10,2,95,1,1.05,1,0
65813,20,1,75,1,0.09,1,0
65834,10,2,175,1,,2,363
66008,10,2,190,1,1.38,2,0
66026,10,1,49,100,0.03,1,0
66251,20,2,212,2,0.48,2,365
66275,20,1,95,1,0.03,1,0
66451,10,2,140,1,1.48,4,82
66718,20,2,135,2,1.09,1,83
66741,10,2,150,1,0.35,2,362
66974,10,2,190,1,1.01,3,343
67288,20,2,124,1,0.21,1,179
67299,10,2,135,7,0.43,2,206
67397,20,1,122,1,1.45,1,17
68099,20,1,109,1,0.81,2,0
68305,20,1,85,1,0.78,1,89
68403,10,2,145,1,0.24,4,0
68735,20,2,195,1,4.56,4,118
68765,10,2,250,4,,1,0
68900,10,1,125,1,2.02,6,0
68974,20,2,575,1,,1,0
69894,20,2,150,2,2.4,6,120
69921,10,1,70,1,0.26,1,365
70095,20,1,90,1,1.28,2,160
70128,20,1,65,4,0.53,1,0
70609,20,2,500,1,0.74,2,364
71010,20,2,250,2,0.13,2,3
71248,20,2,125,30,0.32,4,332
71366,20,2,200,3,,2,0
71384,10,2,229,2,,1,364
71812,30,2,90,30,0.07,4,365
72190,20,2,110,1,4.02,4,133
72265,10,1,59,1,0.1,2,0
74073,10,2,195,1,1.58,5,354
74240,10,2,169,14,,28,342
74333,20,2,113,2,0.03,1,0
74404,20,2,250,1,,1,0
74680,40,2,115,1,0.19,1,88
74860,10,1,55,30,0.15,4,365
75193,10,1,69,30,,4,365
75635,20,2,150,5,0.03,1,0
76761,10,2,169,2,,2,88
77765,10,1,179,1,0.39,1,56
77936,20,1,150,4,3.72,3,0
78919,10,2,135,1,,2,365
79067,10,2,350,2,1.28,2,88
79782,10,1,120,1,6.54,2,19
80493,20,1,71,1,1.32,1,23
80684,10,1,349,30,0.13,7,365
80700,10,1,349,30,0.09,7,365
80924,10,2,165,30,,7,365
81739,10,1,249,30,,7,365
82549,10,1,100,30,,7,365
82550,10,2,200,30,0.09,7,365
82638,20,2,169,1,0.39,2,304
82928,10,2,185,30,0.1,1,0
83243,10,2,65,1,,1,0
83446,10,2,130,1,0.31,1,0
83722,10,2,199,1,,1,0
83847,20,2,225,3,,1,0
84010,10,1,179,1,4.09,1,5
84059,10,2,150,3,1.25,2,1
84659,20,2,139,1,0.95,1,33
84905,20,1,95,1,4.21,2,0
85094,10,2,79,1,4.06,2,0
86215,20,2,150,1,0.32,2,0
89427,10,2,650,1,0.05,4,1
89621,10,2,90,1,7.96,5,80
93313,10,2,120,1,0.18,1,0
94035,40,1,80,27,,1,365
94209,10,2,100,2,0.52,4,365
94477,10,2,175,2,0.85,1,15
94783,10,2,120,1,2.44,3,89
95747,10,2,140,2,1.95,1,194
95883,10,2,200,3,0.24,1,0
96471,10,1,165,4,,1,0
98330,20,2,125,1,0.08,2,365
98663,20,2,130,30,,1,0
99070,20,3,65,3,2.6,1,138
99085,10,2,123,1,0.04,1,0
100002,20,1,67,3,,1,83
100184,40,1,50,2,,1,0
100186,10,2,130,1,,1,0
101053,10,1,100,1,3.04,1,81
102995,20,2,212,1,4.22,7,82
103161,10,2,190,4,0.09,2,0
103311,10,1,599,1,0.04,1,0
103806,20,2,249,1,,1,0
105469,40,1,70,1,4.99,7,73
105510,10,2,100,2,0.86,1,0
106363,20,1,60,1,0.1,1,179
106647,10,2,135,30,0.05,6,365
107630,10,2,175,30,0.08,6,365
107895,20,2,120,2,,1,0
110739,20,2,169,30,0.1,6,365
112100,10,2,165,1,0.98,7,0
112304,20,1,90,30,0.13,1,0
112359,20,2,225,30,0.18,4,6
112435,10,1,95,31,0.22,4,365
113265,10,1,55,1,0.32,4,21
113945,20,1,85,15,0.44,3,347
114123,10,2,199,2,0.13,3,343
114229,20,2,211,2,,3,348
114969,20,2,145,2,,1,0
115535,20,1,65,15,0.18,1,83
115678,20,2,99,1,0.08,1,0
115748,40,2,110,2,0.04,3,138
116940,10,2,80,2,0.12,1,0
117425,10,2,150,1,0.86,1,188
118061,10,2,110,7,0.09,4,343
118430,20,1,290,7,0.09,4,320
118680,20,1,87,2,3.42,1,192
120362,10,2,190,1,1.8,1,90
121687,10,2,200,1,,1,0
121861,10,2,165,2,0.11,2,0
123784,20,2,110,1,0.46,1,0
125053,20,2,395,1,0.26,1,0
125163,10,1,99,1,0.75,6,365
125594,10,1,39,1,,1,0
126443,20,2,189,1,,1,0
126816,20,1,85,1,0.04,1,179
127387,10,2,260,5,,1,0
128975,20,2,122,1,0.78,2,342
131154,10,2,165,1,1.1,6,365
132516,40,2,97,3,2.26,1,248
132570,20,2,170,3,0.04,1,87
132695,10,2,125,1,4.09,1,7
133025,20,1,130,2,0.04,3,269
134934,10,2,225,1,0.8,6,365
135393,10,1,50,1,0.16,1,365
135465,10,2,170,3,0.31,2,364
135706,20,2,132,1,0.4,6,180
136493,10,2,250,1,0.31,6,180
138216,10,2,141,6,1.37,3,196
139624,10,2,64,1,0.7,6,365
140133,10,2,249,30,0.11,5,365
140425,10,1,79,7,0.04,1,0
140973,20,2,185,1,0.09,1,0
141154,10,2,120,1,,1,15
141335,10,2,495,3,,1,0
141890,20,2,375,3,4.13,2,26
141984,20,2,175,3,4.56,2,22
142069,20,2,150,4,,1,0
144087,20,2,259,1,0.45,1,0
144148,20,1,96,2,0.04,2,0
145064,10,2,145,1,,1,0
145188,20,2,200,1,,1,0
145994,20,2,95,1,,1,0
146754,10,2,250,1,2.2,2,365
147586,20,2,295,1,0.51,2,125
148201,20,2,175,1,,1,83
148259,10,2,451,14,0.25,28,341
148825,20,2,165,1,,1,0
149287,20,2,250,30,,8,312
149777,30,2,77,1,0.09,1,0
150804,20,2,250,30,0.11,6,333
151199,40,2,129,30,0.1,6,324
151478,10,1,98,30,0.26,6,139
152071,10,2,150,1,0.24,2,0
152078,20,1,95,4,1.04,5,90
152259,20,1,55,1,0.33,6,361
152263,20,2,300,2,1.02,5,90
152520,40,1,42,1,3.64,2,0
153405,10,2,125,5,0.77,5,88
153780,20,1,175,3,2.99,2,7
154934,20,1,75,2,0.64,1,0
155296,10,2,255,1,4.35,4,77
157673,10,2,72,1,,1,0
158061,10,1,165,35,0.05,2,0
158176,10,2,165,1,,3,0
158290,10,1,75,2,1.8,5,188
158913,10,2,130,2,0.65,2,365
158955,10,2,139,7,,1,0
159749,10,1,88,3,1.17,1,14
159815,10,1,80,1,0.34,1,0
159913,20,1,150,3,0.45,3,0
160609,20,2,200,2,,1,0
160994,20,2,200,1,3.65,4,88
161366,40,1,42,100,,28,308
161394,10,1,90,100,,28,341
161996,20,2,295,1,3.31,4,81
162493,10,2,450,100,0.11,28,201
162508,10,2,130,1,1.6,5,346
163627,10,1,89,30,0.25,5,281
163809,20,2,198,30,0.25,5,365
163814,20,2,99,30,0.11,8,325
163836,10,1,46,1,3.62,1,125
164989,20,1,140,1,,2,0
165080,10,2,500,2,0.05,1,0
165461,20,1,75,3,0.78,5,301
165824,40,1,33,2,0.81,5,274
166006,20,2,250,1,0.55,4,0
166172,10,1,60,3,,1,0
166541,20,1,75,3,1.86,3,104
166983,10,2,350,1,0.11,1,0
167013,20,2,205,1,0.05,1,0
167017,10,2,219,14,0.25,28,322
167222,10,1,60,2,1.67,3,5
167482,20,2,185,2,0.22,3,1
168084,20,2,190,1,3.97,3,0
168123,10,2,105,1,1.01,4,27
168546,20,2,250,1,0.53,4,347
168810,20,2,175,30,0.42,1,179
169002,20,1,65,2,0.05,1,0
169152,10,2,75,3,0.38,1,0
169306,30,1,37,60,0.05,1,0
169464,10,2,85,2,0.39,5,299
169483,10,2,106,1,0.36,3,0
170420,20,2,79,6,,1,0
170761,10,1,85,4,0.05,1,0
171776,20,1,170,30,0.17,6,365
172700,20,1,115,1,1.4,2,138
172870,20,1,89,30,0.22,10,327
173072,20,3,49,14,,1,0
173151,10,1,91,30,0.05,4,7
173742,20,2,400,30,0.16,5,344
174527,10,2,150,4,0.06,1,0
174966,20,2,2000,2,3.02,1,1
176135,10,2,97,4,0.81,2,0
176653,20,1,100,31,0.27,4,6
176962,10,2,179,30,0.15,1,0
177421,10,2,500,30,0.14,8,334
177495,20,2,429,1,0.49,3,324
177606,20,2,189,20,,1,0
179670,20,1,120,30,0.11,1,0
179741,20,2,300,1,0.05,1,0
180507,40,2,107,1,,1,0
180792,40,2,95,1,3.27,1,58
181972,20,2,199,1,,1,0
182069,20,2,120,1,0.94,4,0
182095,20,2,199,2,0.06,1,0
182177,30,2,125,1,0.77,4,0
182649,10,1,70,1,0.11,1,90
185266,10,1,75,2,1.64,2,16
187488,20,1,100,1,1.72,4,0
187566,10,2,99,1,2.92,1,8
187986,20,2,250,2,,1,0
188146,10,2,350,4,0.06,1,0
188661,10,2,170,1,0.75,2,0
188674,20,2,165,1,2.99,3,365
189135,20,1,99,1,0.53,1,0
189181,20,1,255,1,0.06,1,173
189732,10,2,169,100,0.18,4,320
189787,10,2,99,1,0.06,1,170
190267,20,2,169,14,,28,322
190542,10,2,160,1,2.01,4,363
190968,10,2,215,1,2.66,3,348
190974,10,2,130,1,1.69,1,270
191075,20,1,110,1,3.02,3,140
193105,20,1,150,1,2.29,3,140
193333,10,1,65,1,2.48,3,145
193393,40,1,75,1,2.39,2,24
193853,20,2,149,14,,4,341
194154,20,1,89,1,0.18,1,0
195123,20,1,50,1,,1,350
195233,10,1,43,2,0.48,2,0
195240,10,1,42,1,4.21,6,167
195578,10,1,85,1,1.56,1,5
195971,10,2,139,1,3.25,6,172
195989,10,1,105,1,3.07,6,362
196010,10,2,265,3,,1,365
197155,20,2,149,1,,1,0
197753,20,1,68,2,0.81,1,81
197942,10,2,99,1,3.64,6,362
199195,20,1,75,1,0.67,1,312
199312,10,1,100,1,3.64,6,174
200645,20,3,90,30,0.21,10,342
200955,20,2,160,31,0.28,10,341
201992,10,2,190,1,,1,0
202273,10,1,67,30,0.19,10,365
203901,20,2,190,2,0.13,1,35
204065,10,2,248,1,6.31,1,67
204833,10,1,100,1,1.2,1,56
204959,20,1,95,1,,1,0
205043,20,1,150,2,0.52,1,0
205485,10,2,145,1,3.48,4,66
205735,10,1,41,3,0.32,2,0
205867,10,2,120,5,,2,363
206071,30,1,50,1,1.64,2,260
206316,10,2,157,30,,3,84
206772,10,2,195,4,0.22,1,0
206957,10,2,70,1,7.33,6,325
208148,10,2,185,100,,28,320
208889,10,2,145,30,,1,342
209310,40,1,50,14,0.76,28,341
211078,10,2,185,14,,28,321
211974,20,2,250,5,0.78,5,90
212109,20,1,80,1,1.82,1,141
212178,20,2,230,1,3.38,2,5
212544,10,2,100,1,0.56,1,89
213272,10,1,40,3,0.28,1,0
213330,20,1,200,1,0.1,1,0
214917,50,1,80,1,,1,0
215560,10,1,79,1,0.36,2,83
215784,40,2,95,1,2.75,1,60
215907,20,2,300,1,0.15,1,89
217580,10,2,100,1,0.37,1,0
218358,20,1,80,1,1.53,3,354
219066,10,2,110,1,1.83,2,6
219482,10,2,172,1,0.07,1,89
219793,20,2,199,4,,1,12
219818,20,2,199,1,1.6,2,0
219922,20,1,100,1,3.86,8,205
220351,20,1,55,1,3.12,8,181
220563,10,1,75,1,3.27,8,199
220946,20,2,146,1,4.68,8,196
221043,20,1,250,3,0.61,2,0
221097,10,2,116,14,0.7,1,21
221618,20,1,150,2,0.71,1,6
222054,10,1,120,1,6.09,8,192
222304,20,2,199,1,4.19,8,204
223930,10,2,150,1,0.55,1,66
224004,20,1,69,2,0.31,1,0
224006,20,1,300,1,1.06,1,331
224510,10,2,230,1,1.84,3,208
225297,20,2,125,1,1.3,3,212
225306,10,1,79,2,1.18,3,306
225887,10,1,130,1,1,1,30
225926,10,1,239,30,,10,343
225976,50,2,75,30,0.09,10,364
226021,10,2,220,4,1.15,2,329
227715,10,2,80,1,4.76,7,225
227735,20,2,288,2,1.34,2,5
228317,10,2,135,1,0.21,1,90
228496,20,2,225,3,0.71,1,161
228517,20,1,110,30,,10,311
228925,10,2,100,30,0.26,10,312
228979,20,1,130,10,0.11,1,179
229367,20,1,89,1,4.74,2,5
229874,10,2,200,1,2.81,1,82
230321,10,2,80,1,1,34,360
230854,30,1,50,7,3.46,1,4
230877,20,2,135,1,1.39,34,365
230956,20,1,90,3,1.14,34,365
231414,20,1,270,1,1.77,34,365
232612,10,2,110,5,1.07,10,301
232618,20,2,145,1,1.71,2,271
233189,20,2,179,1,1.03,2,365
233638,40,1,55,1,0.17,1,342
233662,20,1,110,2,2.25,1,50
234184,20,2,325,1,2.78,17,85
234870,40,1,75,2,2.66,17,85
235552,10,2,300,3,0.93,34,332
235651,20,1,130,1,1.53,34,365
235951,20,2,190,1,1.34,34,346
235960,20,2,200,3,1.24,34,361
236671,10,2,180,2,0.09,1,0
236788,10,2,350,1,2.92,17,78
236806,20,2,160,3,0.78,1,85
237127,20,2,195,1,,2,89
237210,20,2,241,3,2,2,142
239055,20,2,300,1,2.79,7,225
239733,40,2,75,30,,10,365
239766,20,2,100,30,0.11,10,365
239826,20,2,399,1,4.21,7,225
239883,10,1,85,1,2.74,17,83
239899,10,2,80,1,3.99,17,84
240800,10,1,55,2,0.19,4,90
241140,10,1,438,1,3.26,7,225
241159,10,2,110,1,2.47,7,225
241862,20,2,200,1,3.32,7,221
242532,10,1,279,14,0.15,28,322
242643,10,2,137,1,1.82,2,341
243229,10,2,280,2,3.72,1,72
243708,10,2,199,1,1.48,1,0
245504,20,1,71,2,0.93,1,0
245544,30,1,42,1,4,1,31
245574,10,2,180,1,1.88,9,343
245607,20,2,226,1,0.09,1,363
246134,10,1,85,3,1.07,34,365
246351,20,2,135,4,0.2,1,41
246916,40,2,79,2,0.9,34,362
246938,20,2,154,3,1.06,34,361
248865,10,2,199,1,2.78,1,157
248871,20,2,700,7,,4,21
249414,20,2,246,1,0.82,34,365
249618,20,1,125,3,0.77,4,88
249867,10,1,100,3,0.32,4,50
250259,10,2,295,26,,2,90
250311,10,1,150,2,0.39,2,0
250323,20,2,119,2,2.31,9,12
250536,20,1,125,2,5.54,9,109
250537,20,2,400,2,2.58,9,120
250801,20,2,850,1,,1,245
251262,10,1,129,1,10.77,3,0
251277,20,1,140,1,3.08,17,85
252076,20,1,115,2,3.23,9,9
252607,20,2,200,2,4.71,9,5
253332,10,2,96,2,2.12,9,10
253466,10,2,199,2,5.81,9,3
253471,10,2,199,2,2.19,4,365
253475,10,2,199,1,,1,179
253548,10,1,69,3,,7,37
253590,20,2,185,1,1.45,34,365
253623,20,1,81,1,1.51,34,365
253800,10,2,199,2,0.1,7,37
253803,10,2,199,2,,7,37
253806,10,2,199,4,0.41,7,365
253811,10,2,199,5,0.11,7,365
253815,10,2,199,2,,2,0
253828,10,1,349,5,0.23,7,365
253839,10,1,249,5,0.1,7,365
253842,10,1,299,1,1.62,1,14
253846,10,1,179,4,1.91,6,16
254131,40,1,54,1,2.57,6,23
254168,10,1,599,1,2.52,6,2
254409,10,2,110,7,0.11,1,179
255024,10,2,220,2,5.61,2,22
255476,10,1,89,4,,7,365
255601,10,2,170,1,1.76,1,165
255957,20,2,495,1,0.42,3,179
256078,40,2,80,1,1.93,7,60
256328,20,2,760,1,1.79,7,83
256369,10,1,98,1,3.09,7,89
257097,10,2,125,1,1.7,7,0
257568,10,1,48,1,0.31,1,83
257787,10,1,64,5,1,8,365
258284,10,2,154,2,1.96,6,344
258397,10,2,139,1,1.11,6,169
258686,40,1,75,1,,2,363
258688,20,2,325,2,1.77,6,330
258690,20,2,195,2,2.58,6,352
258740,20,1,58,1,0.32,1,365
258838,50,2,250,1,1.33,34,365
258876,50,1,50,2,0.62,34,343
259946,50,2,125,3,1.36,34,359
260451,10,2,70,1,1.36,34,365
260765,20,2,189,5,0.78,8,365
261194,10,2,130,2,3.44,9,10
261259,20,2,145,2,2.8,9,11
261344,20,1,101,1,1.97,1,52
261674,20,1,95,1,,3,47
261781,20,2,375,1,0.23,1,88
262343,20,2,153,1,2,2,64
262405,10,2,92,1,1.84,4,141
262478,20,1,80,2,0.22,7,312
262583,20,2,300,2,0.55,6,365
263005,10,2,145,1,,10,352
263190,20,1,88,2,0.55,6,352
263232,20,2,155,7,0.7,10,311
263502,10,2,185,1,4.77,8,198
263776,40,1,73,2,1.19,6,356
263888,20,2,225,2,0.53,6,365
264323,20,1,85,4,1.56,5,62
265036,10,1,99,4,1.88,5,80
265064,10,1,48,2,1.33,1,270
265145,20,2,200,2,1.4,1,220
265506,20,2,485,1,2.9,2,78
265831,20,2,310,3,0.5,1,76
265912,10,2,110,2,0.95,1,169
266146,20,2,109,4,3.01,5,49
266155,20,2,167,1,3.4,2,335
266351,10,2,147,1,0.21,3,212
266437,20,2,220,1,1.03,2,0
266449,20,2,195,1,0.12,1,365
266756,20,2,199,1,0.93,4,332
267376,20,1,65,2,2.82,2,0
267435,40,1,55,4,0.45,7,365
267535,30,1,50,2,2.4,5,230
267652,10,1,60,1,1.52,17,89
267708,20,1,99,10,,2,0
268392,20,2,130,3,2.51,6,169
268481,10,2,290,1,0.8,7,365
268868,20,2,350,2,1.72,1,126
269283,10,1,50,1,0.56,2,365
269889,40,1,96,1,,33,180
270139,10,1,45,1,,33,365
270231,40,1,85,1,1.65,17,89
270315,10,1,34,1,2.13,17,87
270345,20,2,250,2,0.74,3,352
270680,10,1,190,2,0.13,6,365
270681,10,1,75,5,0.27,2,23
271083,10,2,93,15,,14,0
271128,10,1,60,15,,14,0
271130,10,1,65,15,,14,0
271694,20,2,125,15,,14,0
271950,20,2,300,1,0.24,1,363
271954,20,2,150,2,0.16,1,365
